X,y
"(MoOS6,4);(MoS5,240);(Mo2S10,2)","(MoS5,90);(MoS7,10)"
"(MoS3,148);(MoS5,18);(MoS3,290)","(MoS5,434);(MoS7,11)"
"(MoS3,10);(Mo2S7,2);(Mo2S9,7)","(MoS5,112);(MoS7,12)"
"(MoOS6,16);(MoS5,151);(MoOS6,2)","(MoS5,105);(MoS7,12)"
"(MoS3,14);(MoS5,3);(MoS3,183)","(MoS5,666);(MoS7,10)"
"(MoOS6,9);(MoS5,148);(MoOS6,25)","(MoS5,71);(MoS7,10)"
"(MoS3,80);(MoS5,195);(MoOS6,2)","(MoS5,40);(MoS7,11)"
"(Mo2S5,137);(Mo2S7,108);(Mo2S9,2)","(MoS5,141);(MoS7,12)"
"(MoS5,5);(MoS3,60);(Mo2S6,29)","(MoS5,11);(MoS7,11)"
"(Mo2S6,4);(MoS4,41);(Mo2S6,10)","(MoS5,180);(MoS7,12)"
"(Mo2S7,11);(MoS5,1);(Mo2S5,58)","(Mo2S7,181);(MoS7,10)"
"(MoS3,297);(MoS5,21);(MoS3,292)","(MoS5,116);(MoS7,11)"
"(MoOS4,67);(MoOS5,11);(MoOS6,2)","(MoS5,155);(MoS7,10)"
"(MoS4,113);(MoS5,2);(MoS3,205)","(MoS5,386);(MoS7,11)"
"(MoS5,36);(MoS3,45);(MoS5,85)","(MoS4,501);(MoS7,11)"
"(MoS4,2);(MoS2,146);(Mo2S6,12)","(MoS5,177);(MoS7,12)"
"(MoS3,68);(Mo2S6,23);(MoS3,11)","(MoS5,140);(MoS7,10)"
"(Mo2S5,92);(Mo2S8,10);(MoS3,159)","(MoS5,186);(MoS7,12)"
"(MoOS6,4);(MoS5,240);(Mo2S10,2)","(MoS5,90);(MoS7,10)"
"(MoS3,240);(MoOS4,6);(MoS3,5)","(MoS5,249);(MoS7,12)"
"(MoO2S,9);(MoO2S3,9);(MoS3,408)","(MoS5,373);(MoS7,14)"
"(MoS3,227);(MoS5,3);(MoS3,5)","(MoS5,224);(MoS7,13)"
"(MoS3,57);(MoOS4,2);(MoS3,123)","(MoS5,332);(MoS7,13)"
"(MoS5,1);(MoOS5,1);(MoOS6,4)","(MoS5,419);(MoS7,14)"
"(MoS3,48);(MoS5,8);(MoS3,27)","(MoS5,742);(MoS7,13)"
"(MoS3,50);(MoS5,98);(MoS3,1)","(MoS5,439);(MoS7,13)"
"(MoS3,35);(MoS5,2);(MoS3,66)","(MoS5,205);(MoS7,13)"
"(MoOS6,5);(MoS5,4);(MoOS6,8)","(MoS5,74);(MoS7,13)"
"(MoS3,155);(MoS5,35);(MoS3,83)","(MoS5,132);(MoS7,13)"
"(MoS3,594);(Mo2S7,48);(Mo2S9,12)","(MoS5,386);(MoS7,14)"
"(MoS5,65);(Mo2S6,3);(MoS3,168)","(MoS5,734);(MoS7,13)"
"(MoS5,191);(Mo2S7,309);(Mo2S8,38)","(MoS5,149);(MoS7,14)"
"(MoS3,5);(MoS5,253);(MoOS6,6)","(MoS5,1022);(MoS7,14)"
"(MoS5,2);(MoS4,1);(MoS3,34)","(MoS5,219);(MoS7,13)"
"(MoS3,4);(MoOS4,108);(MoOS6,10)","(MoS5,77);(MoS7,14)"
"(MoOS3,164);(Mo2S6,23);(MoS2,7)","(MoS5,26);(MoS7,14)"
"(MoS,256);(MoS3,140);(Mo2S7,18)","(MoS5,37);(MoS7,14)"
"(MoOS5,64);(MoS4,4);(MoOS5,51)","(MoS5,198);(MoS7,13)"
"(Mo2S8,89);(Mo2S7,127);(Mo2S6,1)","(MoS5,208);(MoS7,14)"
"(MoOS4,30);(MoS5,183);(MoOS6,12)","(MoS5,26);(MoS7,13)"
"(MoS5,1);(MoOS4,1);(MoOS6,15)","(MoS5,28);(MoS7,17)"
"(Mo2S7,30);(MoOS4,18);(Mo2S7,15)","(MoS5,579);(MoS7,16)"
"(MoS2,5);(MoOS,2);(Mo2S5,201)","(MoS5,127);(MoS7,15)"
"(MoOS4,1);(MoS,1);(MoS3,271)","(MoS5,348);(MoS7,16)"
"(MoS3,68);(MoOS4,1);(MoOS6,1)","(MoS5,172);(MoS7,16)"
"(MoS4,72);(Mo2S9,40);(Mo2S8,162)","(MoS5,183);(MoS7,17)"
"(MoOS4,21);(MoS3,1);(MoOS6,3)","(MoS5,465);(MoS7,15)"
"(Mo2S9,1);(Mo2S6,289);(MoS5,79)","(MoS4,1);(MoS7,17)"
"(MoOS3,6);(MoS2,17);(MoS4,72)","(MoS5,78);(MoS7,17)"
"(Mo2S6,27);(MoOS,33);(Mo2S6,18)","(MoS5,61);(MoS7,15)"
"(MoOS6,50);(MoS5,2);(MoOS6,34)","(MoS5,88);(MoS7,17)"
"(MoS3,245);(Mo2S8,116);(Mo2S9,24)","(MoS5,303);(MoS7,17)"
"(MoS3,512);(MoS5,259);(MoOS6,2)","(MoS5,702);(MoS7,15)"
"(MoS3,109);(MoS5,27);(MoS3,100)","(MoS5,372);(MoS7,16)"
"(MoS3,172);(MoOS4,1);(MoOS3,1)","(MoS5,18);(MoS7,16)"
"(Mo2S10,20);(MoS5,368);(MoOS6,4)","(MoS5,648);(MoS7,15)"
"(MoS3,36);(MoOS4,5);(MoS3,111)","(MoS5,185);(MoS7,16)"
